Raw Drug,Mechanism Of Action,drug_cleaned,drug_sponsor,standard_drug,synonym_cortellus,flag,synonym_list,drug_cleaned_cortellus,flag_synoymn_list,synonym_list_cleaned,Mapping_flag
WSD-0922,ErbB antagonist,WSD-0922,,WSD-0922-FU,wsd 0922,fexact,"['WSD-0922', 'egfr inhibitor (nsclc/glioblastoma)', 'egfr inhibitor (nsclc/glioblastoma/head and neck tumor/anaplastic astrocytoma)', 'egfr inhibitor (nsclc/glioblastoma/head and neck tumor)', 'WSD-0922-FU']",WSD-0922-FU,fexact,"['wsd 0922', 'egfr inhibitor nsclc glioblastoma', 'egfr inhibitor nsclc glioblastoma head and neck tumor anaplastic astrocytoma', 'egfr inhibitor nsclc glioblastoma head and neck tumor', 'wsd 0922 fu']",correct_mapping
"anti-PD-1 Ab, unspecified",PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,anti-PD-1 Ab,unspecified,serplulimab,anti pd 1 mab,fuzzy,"['pd-1 checkpoint inhibitor (solid tumor)', 'anti-PD-1 mAb, Shanghai Henlius Biotech', 'PD-1 checkpoint inhibitor (solid tumor), Shanghai Henlius', 'PD-1 checkpoint inhibitor (solid tumor)', 'PD-1 checkpoint inhibitor (solid tumor),/ Kalbe Genexine Biologics', 'serplulimab', 'anti-PD-1 mAb (solid tumor),/ Kalbe Genexine Biologics', 'anti-PD-1 mAb', 'HLX-10', 'anti-pd-1 mab (solid tumor)']",serplulimab,fexact,"['pd 1 checkpoint inhibitor solid tumor', 'anti pd 1 mab shanghai henlius biotech', 'pd 1 checkpoint inhibitor solid tumor shanghai henlius', 'pd 1 checkpoint inhibitor solid tumor', 'pd 1 checkpoint inhibitor solid tumor kalbe genexine biologics', 'serplulimab', 'anti pd 1 mab solid tumor kalbe genexine biologics', 'anti pd 1 mab', 'hlx 10', 'anti pd 1 mab solid tumor']",incorrect_mapping
undisclosed - ROS1 inhibitor,ROS receptor tyrosine kinase inhibitor,undisclosed - ROS1 inhibitor,,,,0,['undisclosed - ROS1 inhibitor'],,0,[],0
autologous cytotoxic T lymphocytes,Immunostimulant,autologous cytotoxic T lymphocytes,,,,0,['autologous cytotoxic T lymphocytes'],,0,[],0
ABM-1310,B-raf kinase inhibitor,ABM-1310,,ABM-1310,abm 1310,fexact,"['ABM-1310', 'b-raf inhibitor (oral capsule, advanced solid tumor)']",ABM-1310,fexact,"['abm 1310', 'b raf inhibitor oral capsule advanced solid tumor']",correct_mapping
cofetuzumab pelidotin,Microtubule inhibitor,cofetuzumab pelidotin,,cofetuzumab pelidotin,cofetuzumab pelidotin,fexact,"['PTK7-ADC', 'PF-7020', 'cofetuzumab pelidotin', 'PTK7-Aur0101', 'PF-06647020', 'ABBV-647', 'anti-PTK7-auristatin']",cofetuzumab pelidotin,fexact,"['ptk7 adc', 'pf 7020', 'cofetuzumab pelidotin', 'ptk7 aur0101', 'pf 06647020', 'abbv 647', 'anti ptk7 auristatin']",correct_mapping
aspirin,Thromboxane synthase inhibitor; Prostaglandin synthase inhibitor; Platelet aggregation inhibitor; Cyclooxygenase inhibitor,aspirin,,,,0,"['aspirin + undisclosed agents (liquid, brain tumor)', 'aspirin', 'acetylsalicylic acid + undisclosed agents (liquid, brain tumor)', 'acetylsalicylic acid', 'acetylsalicylic acid + undisclosed agents (liquid, brain tumor),/University of Portsmouth', 'aspirin + undisclosed agents (liquid, brain tumor),/University of Portsmouth', 'IP-1867B']",,NER_API,[],0
sasanlimab,PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,sasanlimab,,sasanlimab,sasanlimab,fexact,"['PD-1 checkpoint inhibitor (cancer)', 'sasanlimab', 'RN-888', 'PF-06801591']",sasanlimab,fexact,"['pd 1 checkpoint inhibitor cancer', 'sasanlimab', 'rn 888', 'pf 06801591']",correct_mapping
docosahexaenoic acid,Omega 3 fatty acid stimulant,docosahexaenoic acid,,,,0,"['DHA-based cystic fibrosis therapy,/Genzyme', 'docosahexaenoic acid (sickle cell disease/short bowel syndrome)', 'cervnoic acid', 'doconexent', 'docosahexaenoic acid (primary sclerosing cholangitis/sickle cell disease/short bowel syndrome)', 'SC-403', 'DHA-based cystic fibrosis therapy,/', 'SC-411', 'Cervonic acid', 'doconexent (periodontitis)', 'Lumarel', 'Altemia', 'doconexent (primary sclerosing cholangitis/sickle cell disease/short bowel syndrome), Sancilio & Company', 'docosahexaenoic acid', 'docosahexaenoic acid (cystic fibrosis)', 'doconexent (cystic fibrosis)', 'DHA', 'docosahexaenoic acid (primary sclerosing cholangitis/sickle cell disease/short bowel syndrome), Sancilio & Company', 'doconexent (primary sclerosing cholangitis/sickle cell disease/short bowel syndrome)', 'SC-404']",,Drug_API_mapping,[],0
eicosapentaenoic acid,Omega 3 fatty acid stimulant,eicosapentaenoic acid,,,,0,"['icosapent (colorectal polyps)', 'eicosapentaenoic acid (familial adenomatous polyps)', 'icosapent', 'eicosapentaenoic acid,/', 'eicosapentaenoic acid (colorectal polyps)', 'eicosapentaenoic acid, Thallia/', 'eicosapentaenoic acid (oral, familial adenomatous polyposis/inflammatory bowel disease/Crohns disease/COVID-19/ulcerative colitis)', 'eicosapentaenoic acid', 'ALFA', 'eicosapentaenoic acid (oral, familial adenomatous polyposis/inflammatory bowel disease/Crohns disease)', 'icosapent,/', 'EPA, Thallia/', 'icosapent, Thallia/', 'icosapent (familial adenomatous polyposis)', 'EPA,/', 'EPA-FFA', 'EPAspire']",,Drug_API_mapping,[],0
"VSV IFNb NIS, Vyriad",Immuno-oncology therapy,VSV IFNb NIS,Vyriad,VSV-hIFNbeta-NIS,vsv mifn nis,fuzzy,"['BOEC-VSV-IFN-beta', 'VSV-hIFNbeta-NIS', 'recombinant vesicular stomatitis virus (cancer)', 'recombinant vesicular stomatitis virus (cancer), University of Tennessee/', 'VSV-mIFN-NIS', 'oncolytic vsv therapy expressing ifn-beta and sodium-iodide symporter (cancer)', 'oncolytic VSV therapy expressing IFN-beta and sodium-iodide symporter (cancer), University of Tennessee/']",VSV-hIFNbeta-NIS,fexact,"['boec vsv ifn beta', 'vsv hifnbeta nis', 'recombinant vesicular stomatitis virus cancer', 'recombinant vesicular stomatitis virus cancer university of tennessee', 'vsv mifn nis', 'oncolytic vsv therapy expressing ifn beta and sodium iodide symporter cancer', 'oncolytic vsv therapy expressing ifn beta and sodium iodide symporter cancer university of tennessee']",incorrect_mapping
BDC-1001,ErbB-2 antagonist; Immunostimulant; Toll-like receptor 7 agonist; Toll-like receptor 8 agonist; Immuno-oncology therapy,BDC-1001,,BDC-1001,bdc 1001,fexact,"['anti-HER2 TLR7/8 ISAC (cancer)', 'BDC-1001', 'HER2 Boltbody', 'immune-stimulating antibody conjugates (cancer)', 'dendritic cell-activating anti-HER2 antibody (breast cancer).']",BDC-1001,fexact,"['anti her2 tlr7 8 isac cancer', 'bdc 1001', 'her2 boltbody', 'immune stimulating antibody conjugates cancer', 'dendritic cell activating anti her2 antibody breast cancer']",correct_mapping
talazoparib,Poly ADP ribose polymerase 2 inhibitor; DNA repair enzyme inhibitor; Poly ADP ribose polymerase 1 inhibitor,talazoparib,,talazoparib tosylate,talazoparib,fexact,"['talazoparib tosylate', 'MDV-3800', 'talazoparib tosilate', 'talazoparib', 'PARP inhibitors (solid tumors)', 'LT-00673', 'BMN-673', 'BMN-628', 'PF-06944076', 'PARP inhibitors (solid tumors), LEAD Therapeutics', 'LT-673', 'Talzenna']",talazoparib tosylate,fexact,"['talazoparib tosylate', 'mdv 3800', 'talazoparib tosilate', 'talazoparib', 'parp inhibitors solid tumors', 'lt 00673', 'bmn 673', 'bmn 628', 'pf 06944076', 'parp inhibitors solid tumors lead therapeutics', 'lt 673', 'talzenna']",correct_mapping
alkotinib,ROS receptor tyrosine kinase inhibitor,alkotinib,,alkotinib,alkotinib,fexact,"['aokatini', 'small molecule therapeutic (oral/capsule, cancer)', 'ZG-0418', 'ocatinib', 'alkotinib']",alkotinib,fexact,"['aokatini', 'small molecule therapeutic oral capsule cancer', 'zg 0418', 'ocatinib', 'alkotinib']",correct_mapping
SCT-I10A,PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,SCT-I10A,,SCT-I10A,sct i10a,fexact,"['PD-1 checkpoint inhibitor (cancer)', 'SCT-I10A']",SCT-I10A,fexact,"['pd 1 checkpoint inhibitor cancer', 'sct i10a']",correct_mapping
BT-5528,EphA receptor kinase inhibitor,BT-5528,,BT-5528,bt 5528,fexact,"['bicycle toxin conjugate targeting EphA2 (cancer)', 'BT-5528']",BT-5528,fexact,"['bicycle toxin conjugate targeting epha2 cancer', 'bt 5528']",correct_mapping
LY-3499446,K-Ras inhibitor,LY-3499446,,LY-3499446,ly 3499446,fexact,"['LY-3499446', 'KRAS G12C inhibitor (cancer)']",LY-3499446,fexact,"['ly 3499446', 'kras g12c inhibitor cancer']",correct_mapping
vibostolimab,TIGIT receptor antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,vibostolimab,,vibostolimab,vibostolimab,fexact,"['TIGIT checkpoint inhibitor (solid tumor)', 'vibostolimab', 'MK-7684']",vibostolimab,fexact,"['tigit checkpoint inhibitor solid tumor', 'vibostolimab', 'mk 7684']",correct_mapping
MK-4830,Leukocyte immunoglobulin-like receptor B2 antagonist,MK-4830,,MK-4830,mk 4830,fexact,"['anti-ILT4-specific mAb (advanced solid tumors),/', 'MK-4830', 'anti-ILT4-specific mAb (advanced solid tumors), Merck/']",MK-4830,fexact,"['anti ilt4 specific mab advanced solid tumors', 'mk 4830', 'anti ilt4 specific mab advanced solid tumors merck']",correct_mapping
MK-5890,CD27 agonist; Immuno-oncology therapy; Immune checkpoint stimulant,MK-5890,,,,0,"['MK-5890', 'CD27 costimulator (cancer/NSCLC)', 'CD27 costimulator (cancer)', 'CD27 agonist (cancer)']",,NER_API,[],0
"Polyphenon E, oral, Polyphenon Pharma",Reducing agent,Polyphenon E,Polyphenon Pharma,,,0,"['topical polyphenols,/MediGene/Mitsui', 'Polyphenon  (topical)', 'topical polyphenols, Epitome/MediGene/Mitsui', 'Veregen', 'sinecatechins (warts), Epitome/MediGene/Mitsui', 'SB-03', 'topical polyphenols,//Mitsui', 'sinecatechins (warts),/MediGene/Mitsui', 'topical polyphenols,//', 'Polyphenon', 'sinecatechins (warts),//Mitsui', 'sinecatechins (warts),//']",,NER_API,[],0
LY-3200882,Transforming growth factor beta receptor 1 antagonist,LY-3200882,,LY-3200882,ly 3200882,fexact,"['TGF beta receptor I inhibitor II (solid tumors/colorectal cancer)', 'TGF-beta-R1 Effort II (solid tumors)', 'LY-3200882', 'TGFbeta RI Kinase inhibitor']",LY-3200882,fexact,"['tgf beta receptor i inhibitor ii solid tumors colorectal cancer', 'tgf beta r1 effort ii solid tumors', 'ly 3200882', 'tgfbeta ri kinase inhibitor']",correct_mapping
TPST-1495,Prostaglandin E2 receptor antagonist; Prostaglandin EP4 receptor antagonist,TPST-1495,,TPST-1495,tpst 1495,fexact,"['E-prostanoid receptor antagonists (cancer)', 'E-prostanoid receptor antagonists (cancer), Tempest Therapeutics', 'E-prostanoid receptor antagonists (cancer), Inception Sciences', 'EP2 receptor antagonists (cancer), Tempest Therapeutics', 'EP2 receptor antagonists (cancer)', 'TPST-1495', 'dual EP2/EP4 antagonists (cancer), Tempest Therapeutics', 'dual EP2/EP4 antagonists (cancer)']",TPST-1495,fexact,"['e prostanoid receptor antagonists cancer', 'e prostanoid receptor antagonists cancer tempest therapeutics', 'e prostanoid receptor antagonists cancer inception sciences', 'ep2 receptor antagonists cancer tempest therapeutics', 'ep2 receptor antagonists cancer', 'tpst 1495', 'dual ep2 ep4 antagonists cancer tempest therapeutics', 'dual ep2 ep4 antagonists cancer']",correct_mapping
ATRC-101,Immuno-oncology therapy,ATRC-101,,ATRC-101,atrc 101,fexact,"['Program 100', 'ATRC-101', 'human antibodies (Immune Repertoire Capture, Driver Antigen Engagement, cancer)']",ATRC-101,fexact,"['program 100', 'atrc 101', 'human antibodies immune repertoire capture driver antigen engagement cancer']",correct_mapping
ZN-c3,Wee-1 tyrosine kinase inhibitor,ZN-c3,,ZN-c3,zn c3,fexact,"['wee-1 protein kinase inhibitor (advanced solid tumors, oral)', 'wee-1 protein kinase inhibitor (advanced solid tumors, oral), /zentalis pharmaceuticals', 'ZN-c3']",ZN-c3,fexact,"['wee 1 protein kinase inhibitor advanced solid tumors oral', 'wee 1 protein kinase inhibitor advanced solid tumors oral zentalis pharmaceuticals', 'zn c3']",correct_mapping
"CXCR5 modified EGFR chimaeric antigen receptor therapy, Guangzhou Bio-gene Technology",T cell stimulant; Immuno-oncology therapy,CXCR5 modified EGFR chimaeric antigen receptor therapy,Guangzhou Bio-gene Technology,,,0,['CXCR5 modified EGFR chimaeric antigen receptor therapy'],,0,[],0
PF-06940434,Alpha/beta integrin antagonist,PF-06940434,,PF-06940434,pf 06940434,fexact,['PF-06940434'],PF-06940434,fexact,['pf 06940434'],correct_mapping
LY-3475070,Immuno-oncology therapy; CD73 antagonist,LY-3475070,,LY-3475070,ly 3475070,fexact,"['CD73 checkpoint inhibitor (oral, advanced solid tumor)', 'CD73 inhibitor (cancer)', 'LY-3475070']",LY-3475070,fexact,"['cd73 checkpoint inhibitor oral advanced solid tumor', 'cd73 inhibitor cancer', 'ly 3475070']",correct_mapping
ensartinib,Anaplastic lymphoma kinase inhibitor; EphA receptor kinase inhibitor; MET tyrosine kinase inhibitor; ROS receptor tyrosine kinase inhibitor; TrkC tyrosine kinase inhibitor,ensartinib,,ensartinib,ensartinib,fexact,"['X-276', 'anaplastic lymphoma kinase inhibitors (cancer), Xcovery', 'anaplastic lymphoma kinase inhibitors (cancer)', 'ensartinib', 'ALK inhibitors (cancer), Xcovery', 'Ensacove', 'X-376', 'X-396', 'X-353', 'ALK inhibitor (cancer)', 'ALK inhibitors (cancer)']",ensartinib,fexact,"['x 276', 'anaplastic lymphoma kinase inhibitors cancer xcovery', 'anaplastic lymphoma kinase inhibitors cancer', 'ensartinib', 'alk inhibitors cancer xcovery', 'ensacove', 'x 376', 'x 396', 'x 353', 'alk inhibitor cancer', 'alk inhibitors cancer']",correct_mapping
personalized neoantigen-primed dendritic cell vaccine,Immunostimulant,personalized neoantigen-primed dendritic cell vaccine,,,,0,['personalized neoantigen-primed dendritic cell vaccine'],,0,[],0
WX-0593,Unidentified pharmacological activity,WX-0593,,WX-0593,wx 0593,fexact,"['ALK receptor tyrosine kinase inhibitor (non-small-cell lung cancer)', 'yiluaoke', 'WX-0593']",WX-0593,fexact,"['alk receptor tyrosine kinase inhibitor non small cell lung cancer', 'yiluaoke', 'wx 0593']",correct_mapping
AP-001,Unidentified pharmacological activity,AP-001,,,,0,"['interferon alpha 2b, (topical, Biphasix), Helix Biopharma', 'AP-001', 'interferon alpha 2b, (topical, Biphasix)', 'topical interferon alpha 2b', 'AP-004 (topical, Biphasix)', 'Biphasix']",,NER_API,[],0
DCC-3116,ULK kinase inhibitor,DCC-3116,,DCC-3116,dcc 3116,fexact,"['autophagy inhibitors (cancer)', 'DCC-3116', 'ULK kinase inhibitor (cancer)', 'mutant RAS cancer therapy']",DCC-3116,fexact,"['autophagy inhibitors cancer', 'dcc 3116', 'ulk kinase inhibitor cancer', 'mutant ras cancer therapy']",correct_mapping
RO-7247669,PD-1 antagonist; Lymphocyte-activation gene 3 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,RO-7247669,,RG-6139,ro 7247669,fexact,"['RG-6139', 'anti PD-1/LAG-3\xa0bispecific antibody (advanced solid tumor/esophageal squamous cell carcinoma)', 'anti PD-1/LAG-3\xa0bispecific antibody (advanced solid tumor)', 'dual PD-1 checkpoint inhibitor/LAG-3 checkpoint inhibitor (advanced solid tumor)', 'anti-PD1 x LAG3 (solid tumors)', 'RO-7247669']",RG-6139,fexact,"['rg 6139', 'anti pd 1 lag 3\xa0bispecific antibody advanced solid tumor esophageal squamous cell carcinoma', 'anti pd 1 lag 3\xa0bispecific antibody advanced solid tumor', 'dual pd 1 checkpoint inhibitor lag 3 checkpoint inhibitor advanced solid tumor', 'anti pd1 x lag3 solid tumors', 'ro 7247669']",correct_mapping
ONC-392,CTLA4 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,ONC-392,,ONC-392,onc 392,fexact,"['CTLA-4 checkpoint inhibitor (cancer)', 'ONC-392', 'anti-CTLA4 humanized monoclonal antibody (cancer)']",ONC-392,fexact,"['ctla 4 checkpoint inhibitor cancer', 'onc 392', 'anti ctla4 humanized monoclonal antibody cancer']",correct_mapping
platinum,Unidentified pharmacological activity,platinum,,,,0,['platinum'],,0,[],0
undisclosed - angiogenesis inhibitor,Angiogenesis inhibitor,undisclosed - angiogenesis inhibitor,,,,0,['undisclosed - angiogenesis inhibitor'],,0,[],0
TAB-004,MUC-1 inhibitor,TAB-004,,TAB-004,tab 004,fexact,"['TAB-004', 'TAB-004/JS-004', 'icatolimab', 'JS-004', 'BTLA checkpoint inhibitor (solid tumors)', 'recombinant humanized anti-BTLA monoclonal antibody (melanoma/lung cancer/lymphoma)']",TAB-004,fexact,"['tab 004', 'tab 004 js 004', 'icatolimab', 'js 004', 'btla checkpoint inhibitor solid tumors', 'recombinant humanized anti btla monoclonal antibody melanoma lung cancer lymphoma']",correct_mapping
BPI-7711,EGFR kinase inhibitor,BPI-7711,,BPI-7711,bpi 7711,fexact,"['EGFR T790M inhibitors (non-small cell lung cancer)', 'BPI-7711', 'rezivertinib', 'BPI-4039']",BPI-7711,fexact,"['egfr t790m inhibitors non small cell lung cancer', 'bpi 7711', 'rezivertinib', 'bpi 4039']",correct_mapping
intensity-modulated radiation therapy,Unidentified pharmacological activity,intensity-modulated radiation therapy,,,,0,['intensity-modulated radiation therapy'],,0,[],0
proton therapy,Unidentified pharmacological activity,proton therapy,,,,0,['proton therapy'],,0,[],0
rogaratinib,FGF receptor 1 tyrosine kinase inhibitor; FGF receptor 2 tyrosine kinase inhibitor; FGF receptor 3 tyrosine kinase inhibitor; FGF receptor 4 tyrosine kinase inhibitor,rogaratinib,,rogaratinib,rogaratinib,fexact,"['pan-FGFR inhibitor (cancer)', 'BAY-1163877', 'rogaratinib']",rogaratinib,fexact,"['pan fgfr inhibitor cancer', 'bay 1163877', 'rogaratinib']",correct_mapping
"tyrosine kinase inhibitor, unspecified",Tyrosine kinase inhibitor (TKI),tyrosine kinase inhibitor,unspecified,,,0,['tyrosine kinase inhibitor'],,0,[],0
adavosertib,Wee-1 tyrosine kinase inhibitor,adavosertib,,adavosertib,adavosertib,fexact,"['MK-1775', 'WEE1 kinase inhibitor (cancer), Merck & Co/', 'WEE1 kinase inhibitor (cancer),/', 'adavosertib', 'AZD-1775']",adavosertib,fexact,"['mk 1775', 'wee1 kinase inhibitor cancer merck co', 'wee1 kinase inhibitor cancer', 'adavosertib', 'azd 1775']",correct_mapping
ceralasertib,Ataxia telangiectasia Rad3 inhibitor,ceralasertib,,ceralasertib,ceralasertib,fexact,"['AZD-6738', 'ceralasertib']",ceralasertib,fexact,"['azd 6738', 'ceralasertib']",correct_mapping
AZD-1390,ATM kinase inhibitor,AZD-1390,,AZD-1390,azd 1390,fexact,"['ATM kinase inhibitor (cancer/glioblastoma/metastatic brain cancer)', 'AZD-1390']",AZD-1390,fexact,"['atm kinase inhibitor cancer glioblastoma metastatic brain cancer', 'azd 1390']",correct_mapping
"DNA damage response inhibitor, undisclosed",Not applicable,DNA damage response inhibitor,undisclosed,,,0,['DNA damage response inhibitor'],,0,[],0
HuMax-IL8,Interleukin 8 antagonist; Immuno-oncology therapy,HuMax-IL8,,BMS-986253,humax il8,fexact,"['HuMax-IL8', 'BMS-986253', 'anti-inflammatory antibody, Medarex/Genmab', 'anti-inflammatory antibody,/', 'anti-inflammatory therapeutic, Genmab/Medarex', 'BMS-968253', 'anti-inflammatory therapeutic,/', 'MDX-018', 'anti-inflammatory antibody, Medarex/', 'IL-8 targeting antibody (intravenous, hematological neoplasm/COVID-19 associated respiratory disease)', 'anti-inflammatory therapeutic,/Medarex', 'HuMax-Inflam']",BMS-986253,fexact,"['humax il8', 'bms 986253', 'anti inflammatory antibody medarex genmab', 'anti inflammatory antibody', 'anti inflammatory therapeutic genmab medarex', 'bms 968253', 'anti inflammatory therapeutic', 'mdx 018', 'anti inflammatory antibody medarex', 'il 8 targeting antibody intravenous hematological neoplasm covid 19 associated respiratory disease', 'anti inflammatory therapeutic medarex', 'humax inflam']",correct_mapping
BMS-813160,CC chemokine receptor 5 antagonist; CC chemokine receptor 2 antagonist,BMS-813160,,BMS-813160,bms 813160,fexact,"['BMS-585059', 'CCR2/CCR5 chemokine antagonist (immune disorders, cardiovascular disorders), BMS', 'BMS-813160', 'CCR2/CCR5 dual antagonist (immunology)', 'CCR2/CCR5 dual antagonist (cardiovascular disease)']",BMS-813160,fexact,"['bms 585059', 'ccr2 ccr5 chemokine antagonist immune disorders cardiovascular disorders bms', 'bms 813160', 'ccr2 ccr5 dual antagonist immunology', 'ccr2 ccr5 dual antagonist cardiovascular disease']",correct_mapping
PD1-Vaxx,PD-1 antagonist; PD-L1 antagonist; PD-L2 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,PD1-Vaxx,,PD1-Vaxx,pd1 vaxx,fexact,"['PD-1 checkpoint inhibitor-inducing vaccine (cancer), Medical University of Vienna/', 'APi-2568', 'PD1-Vaxx', 'mimotope immuno-oncologic b-cell peptide vaccine (cancer)', 'IMU-201', 'pd-1-mimotope vaccine (cancer)', 'PD-1-mimotope vaccine (cancer), Medical University of Vienna/', 'pd-1 checkpoint inhibitor-inducing vaccine (cancer)', 'mimotope immuno-oncologic B-cell peptide vaccine (cancer), Medical University of Vienna/']",PD1-Vaxx,fexact,"['pd 1 checkpoint inhibitor inducing vaccine cancer medical university of vienna', 'api 2568', 'pd1 vaxx', 'mimotope immuno oncologic b cell peptide vaccine cancer', 'imu 201', 'pd 1 mimotope vaccine cancer', 'pd 1 mimotope vaccine cancer medical university of vienna', 'pd 1 checkpoint inhibitor inducing vaccine cancer', 'mimotope immuno oncologic b cell peptide vaccine cancer medical university of vienna']",correct_mapping
